"filename", "language", "JavaScript", "JSON", "CSS", "HTML", "Markdown", "comment", "blank", "total"
"c:\Users\Mspag\desktop\react\fin-formulas\README.md", "Markdown", 0, 0, 0, 0, 38, 0, 33, 71
"c:\Users\Mspag\desktop\react\fin-formulas\package-lock.json", "JSON", 0, 27624, 0, 0, 0, 0, 1, 27625
"c:\Users\Mspag\desktop\react\fin-formulas\package.json", "JSON", 0, 40, 0, 0, 0, 0, 1, 41
"c:\Users\Mspag\desktop\react\fin-formulas\public\index.html", "HTML", 0, 0, 0, 12, 0, 0, 3, 15
"c:\Users\Mspag\desktop\react\fin-formulas\public\styles.css", "CSS", 0, 0, 101, 0, 0, 2, 16, 119
"c:\Users\Mspag\desktop\react\fin-formulas\src\App.js", "JavaScript", 12, 0, 0, 0, 0, 0, 11, 23
"c:\Users\Mspag\desktop\react\fin-formulas\src\Field.js", "JavaScript", 11, 0, 0, 0, 0, 1, 8, 20
"c:\Users\Mspag\desktop\react\fin-formulas\src\FinForm.js", "JavaScript", 47, 0, 0, 0, 0, 3, 20, 70
"c:\Users\Mspag\desktop\react\fin-formulas\src\index.js", "JavaScript", 7, 0, 0, 0, 0, 0, 6, 13
"c:\Users\Mspag\desktop\react\fin-formulas\src\js\Latex.js", "JavaScript", 1985, 0, 0, 0, 0, 230, 153, 2368
"Total", "-", 2062, 27664, 101, 12, 38, 236, 252, 30365